,system,method,irrep,state,etenergies,a_xx,a_yy,a_zz,c6,f,tdipmom_x,tdipmom_y,tdipmom_z,dipmom_x,dipmom_y,dipmom_z
0,s-tetrazine,adc2,X,0,0.0,66.0774,61.2568,33.4974,1161.0504,...,...,...,...,0.0,0.0,-0.0
1,s-tetrazine,adc2x,X,0,0.0,69.3787,64.9631,35.7206,1197.54,...,...,...,...,-0.0,0.0,0.0
2,s-tetrazine,adc3,X,0,0.0,64.1,59.5691,33.4122,1129.0302,...,...,...,...,-0.0,0.0,-0.0
3,s-tetrazine,ccsd_ev,X,0,0.0,62.8234,58.0086,33.4792,...,...,...,...,...,...,...,...
4,s-tetrazine,ccsd_der,X,0,0.0,60.7296,56.0214,32.7342,...,...,...,...,...,...,...,...
5,s-tetrazine-exc,adc2,B1u,0,2.2029,39.0587,78.5485,15.7138,642.8474,0.0056,0.0,0.0,-0.3231,-0.0,0.0,-0.0
6,s-tetrazine-exc,adc2x,B1u,0,1.3122,50.6395,80.075,21.6003,795.3729,0.0032,0.0,-0.0,0.3166,-0.0,0.0,-0.0
7,s-tetrazine-exc,adc3,B1u,0,2.1779,57.2775,74.9375,25.8976,910.0218,0.0059,0.0,-0.0,-0.3327,-0.0,0.0,0.0
8,s-tetrazine-exc,ccsd_ev,B1u,0,2.3878,49.2848,71.7488,23.0488,...,...,...,...,...,...,...,...
9,s-tetrazine-exc,ccsd_der,B1u,0,2.3878,66.0278,80.0887,31.9296,...,...,...,...,...,...,...,...
10,pyrimidine,adc2,X,0,0.0,73.4835,38.6877,76.2201,1510.3587,...,...,...,...,-0.0,0.0,0.934
11,pyrimidine,adc2,B2,1,4.3178,118.888,26.6546,38.795,889.046,0.0054,-0.0,-0.2265,0.0,-0.0,0.0,-0.099
12,pyrimidine,adc2x,X,0,0.0,77.2059,39.9871,79.9748,1555.6022,...,...,...,...,0.0,-0.0,0.934
13,pyrimidine,adc2x,B2,1,3.44,114.281,31.2199,51.1014,1044.2408,0.0042,-0.0,-0.2245,0.0,-0.0,0.0,0.1218
14,pyrimidine,adc3,X,0,0.0,71.2442,38.2686,73.6105,1468.868,...,...,...,...,0.0,0.0,0.934
15,pyrimidine,adc3,B2,1,4.5034,104.4467,33.6356,57.4801,1160.842,0.0063,0.0,-0.2382,-0.0,-0.0,-0.0,0.1336
16,pyrimidine,ccsd_ev,X,0,0.0,70.0469,38.2533,72.5197,...,...,...,...,...,...,...,...
17,pyrimidine,ccsd_ev,B2,1,4.5882,102.9328,33.1616,51.1353,...,...,...,...,...,...,...,...
18,pyrimidine,ccsd_der,X,0,0.0,67.7856,37.4978,70.1832,...,...,...,...,...,...,...,...
19,pyrimidine,ccsd_der,B2,1,4.5882,111.7596,42.1301,71.3845,...,...,...,...,...,...,...,...
20,uracil,adc2,X,0,0.0,105.2255,79.9984,43.3667,2237.4504,...,...,...,...,0.4708,-1.5425,0.0
21,uracil,adc2,"A""",1,4.7287,86.4446,67.2973,27.0838,1099.2722,0.0,0.0,-0.0,-0.0022,-0.8962,0.0788,0.0
22,uracil,adc2,A',2,5.3242,138.8752,81.7699,35.4644,1355.9383,0.2069,-1.2062,0.3618,-0.0,1.3012,-1.4989,-0.0
23,uracil,adc2x,X,0,0.0,110.7516,83.172,44.4753,...,...,...,...,...,0.4708,-1.5425,-0.0
24,uracil,adc2x,"A""",1,3.9651,85.1699,73.1603,33.1655,...,0.0,0.0,-0.0,-0.0001,-0.7421,-0.1873,-0.0
25,uracil,adc2x,A',2,4.6091,147.0758,87.7193,38.3726,...,0.1745,-1.1904,0.3581,0.0,1.3333,-1.5782,0.0
26,uracil,adc3,X,0,0.0,98.4708,76.2691,42.2986,...,...,...,...,...,0.4708,-1.5425,-0.0
27,uracil,adc3,"A""",1,5.3614,74.7186,70.7365,36.0306,...,0.0,-0.0,-0.0,0.0028,-0.5306,-0.5991,-0.0
28,uracil,adc3,A',2,5.3759,105.119,86.9286,42.2735,...,0.2124,-1.1895,0.4446,0.0,1.2704,-1.8035,0.0
29,uracil,ccsd_ev,X,0,0.0,98.7481,76.4142,42.4229,...,...,...,...,...,...,...,...
30,uracil,ccsd_ev,"A""",1,5.2244,71.4901,69.4344,34.5482,...,...,...,...,...,...,...,...
31,uracil,ccsd_ev,A',2,5.5819,112.8236,85.8555,42.969,...,...,...,...,...,...,...,...
32,uracil,ccsd_der,X,0,0.0,95.8179,74.6188,41.5859,...,...,...,...,...,...,...,...
33,uracil,ccsd_der,"A""",1,5.2244,98.0831,88.2869,45.188,...,...,...,...,...,...,...,...
34,uracil,ccsd_der,A',2,5.5819,133.9419,102.7805,51.692,...,...,...,...,...,...,...,...
35,pna,adc2,X,0,0.0,118.8422,58.9353,168.6836,4396.7566,...,...,...,...,0.0,0.0,-2.7523
36,pna,adc2,A1,1,4.3044,68.2636,49.5211,196.9683,2334.7084,0.441,0.0,-0.0,-2.0449,0.0,-0.0,-6.1213
37,pna,adc2x,X,0,0.0,125.2875,60.6216,183.4483,...,...,...,...,...,-0.0,-0.0,-2.7523
38,pna,adc2x,A1,1,3.5585,82.4429,50.6003,176.4854,...,0.3472,0.0,-0.0,1.9955,-0.0,0.0,-5.8046
39,pna,adc3,X,0,0.0,112.7586,58.0169,162.9391,...,...,...,...,...,-0.0,0.0,-2.7523
40,pna,adc3,A1,1,4.2276,86.5283,59.2514,204.3704,...,0.3873,-0.0,0.0,1.9338,-0.0,-0.0,-5.4425
41,pna,ccsd_ev,X,0,0.0,110.7587,58.197,157.6822,...,...,...,...,...,...,...,...
42,pna,ccsd_ev,A1,1,4.619,74.9513,69.3026,200.8851,...,...,...,...,...,...,...,...
43,pna,ccsd_der,X,0,0.0,106.3759,56.9506,152.901,...,...,...,...,...,...,...,...
44,pna,ccsd_der,A1,1,4.619,109.5957,83.5963,239.0756,...,...,...,...,...,...,...,...
45,formaldehyde,adc2,X,0,0.0,17.9368,12.8822,24.8984,...,...,...,...,...,0.0,-0.0,0.8908
46,formaldehyde,adc2,B1,1,6.2689,712.9146,243.7896,310.0326,...,0.0187,-0.3491,-0.0,0.0,0.0,-0.0,-1.7996
47,formaldehyde,adc2x,X,0,0.0,18.4049,13.205,25.6541,...,...,...,...,...,-0.0,-0.0,0.8908
48,formaldehyde,adc2x,B1,1,5.9785,641.256,250.439,314.8399,...,0.0169,-0.3396,-0.0,-0.0,-0.0,-0.0,-1.4716
49,formaldehyde,adc3,X,0,0.0,17.3115,12.6764,23.4686,...,...,...,...,...,-0.0,-0.0,0.8908
50,formaldehyde,adc3,B1,1,7.5654,678.8054,281.3906,432.1899,...,0.0212,0.3382,0.0,0.0,-0.0,-0.0,-0.7659
51,formaldehyde,ccsd_ev,X,0,0.0,17.3864,12.656,22.9793,...,...,...,...,...,...,...,...
52,formaldehyde,ccsd_ev,B1,1,7.0454,688.1503,272.2687,388.23,...,...,...,...,...,...,...,...
53,formaldehyde,ccsd_der,X,0,0.0,17.2278,12.498,22.5792,...,...,...,...,...,...,...,...
54,formaldehyde,ccsd_der,B1,1,7.0454,680.3197,272.7814,384.1557,...,...,...,...,...,...,...,...
55,naphthalene,adc2,X,0,0.0,182.0359,133.6807,69.2884,...,...,...,...,...,-0.0,0.0,-0.0
56,naphthalene,adc2,B3u,1,4.4502,178.4805,73.7886,44.131,...,0.0,-0.0129,0.0,0.0,-0.0,-0.0,-0.0
57,naphthalene,adc2x,X,0,0.0,194.2167,140.6925,71.3445,...,...,...,...,...,0.0,0.0,-0.0
58,naphthalene,adc2x,B3u,1,3.4558,164.9728,88.5131,50.9093,...,0.0001,-0.0421,-0.0,0.0,0.0,0.0,-0.0
59,naphthalene,adc3,X,0,0.0,177.8134,129.9523,68.6204,...,...,...,...,...,-0.0,0.0,0.0
60,naphthalene,adc3,B3u,1,4.1562,170.7051,98.7613,56.1383,...,0.0001,-0.0357,-0.0,-0.0,0.0,0.0,-0.0
61,naphthalene,ccsd_ev,X,0,0.0,173.8886,128.1141,68.2229,...,...,...,...,...,...,...,...
62,naphthalene,ccsd_ev,B3u,1,4.4052,164.3049,88.5818,54.8913,...,...,...,...,...,...,...,...
63,naphthalene,ccsd_der,X,0,0.0,166.7821,123.1357,66.6723,...,...,...,...,...,...,...,...
64,naphthalene,ccsd_der,B3u,1,4.4052,195.1152,121.4741,70.3204,...,...,...,...,...,...,...,...
65,naphthalene,experiment,X,0,...,162.0,119.5,70.9,...,...,...,...,...,...,...,...
66,naphthalene,experiment,B3u,1,...,186.9,120.1,76.9,...,...,...,...,...,...,...,...
